application_id,is_default,first_default_month,max_days_past_due,total_payments_made,default_probability_actual
APP-000091,0,0,0,24,0.59
APP-000092,0,0,0,24,0.45
APP-000093,0,0,0,36,0.16
APP-000094,0,0,15,24,0.308
APP-000095,1,1,30,0,0.34
APP-000096,1,10,60,9,0.92
APP-000097,1,3,90,2,0.92
APP-000098,0,0,5,48,0.76
APP-000099,1,5,180,4,0.82
APP-000100,0,0,1,36,0.14
APP-000101,0,0,0,48,0.11
APP-000102,0,0,0,24,0.491
APP-000103,0,0,0,36,0.54
APP-000104,0,0,0,24,0.84
APP-000105,1,6,60,5,0.61
APP-000106,0,0,0,36,0.11
APP-000107,1,9,120,8,0.48
APP-000108,1,6,120,5,0.92
APP-000109,1,6,90,5,0.78
APP-000110,0,0,0,36,0.31
APP-000111,0,0,0,24,0.18
APP-000112,1,1,30,0,0.28
APP-000113,0,0,0,48,0.11
APP-000114,1,1,180,0,0.44
APP-000115,0,0,15,36,0.26
APP-000116,1,3,30,2,0.51
APP-000117,1,6,90,5,0.421
APP-000118,1,10,30,9,0.64
APP-000119,1,1,120,0,0.61
APP-000120,0,0,0,18,0.32
APP-000121,1,6,90,5,0.92
APP-000122,1,3,30,2,0.26
APP-000123,0,0,15,36,0.41
APP-000124,1,6,180,5,0.92
APP-000125,0,0,1,48,0.26
APP-000126,0,0,0,24,0.23
APP-000127,1,2,90,1,0.91
APP-000128,0,0,0,36,0.461
APP-000129,1,5,60,4,0.911
APP-000130,0,0,0,24,0.61
APP-000131,1,5,60,4,0.784
APP-000132,1,9,90,8,0.86
APP-000133,1,3,90,2,0.26
APP-000134,1,8,30,7,0.66
APP-000135,1,1,120,0,0.34
APP-000136,0,0,0,24,0.64
APP-000137,0,0,0,36,0.06
APP-000138,0,0,5,36,0.06
APP-000139,0,0,0,36,0.54
APP-000140,1,8,120,7,0.92
APP-000141,1,6,60,5,0.54
APP-000142,0,0,15,24,0.26
APP-000143,0,0,0,36,0.11
APP-000144,1,2,30,1,0.42
APP-000145,0,0,0,48,0.491
APP-000146,1,7,180,6,0.56
APP-000147,0,0,0,48,0.46
APP-000148,1,5,90,4,0.92
APP-000149,0,0,0,48,0.565
APP-000150,1,5,90,4,0.16
APP-000151,1,5,60,4,0.31
APP-000152,1,12,60,11,0.92
APP-000153,1,1,120,0,0.68
APP-000154,0,0,1,36,0.421
APP-000155,0,0,0,48,0.19
APP-000156,0,0,0,18,0.11
APP-000157,1,7,120,6,0.51
APP-000158,1,9,180,8,0.34
APP-000159,1,10,180,9,0.8665
APP-000160,0,0,0,36,0.18
APP-000161,1,5,180,4,0.511
APP-000162,1,5,90,4,0.92
APP-000163,0,0,0,24,0.63
APP-000164,1,4,30,3,0.16
APP-000165,0,0,0,48,0.18
APP-000166,0,0,0,36,0.33
APP-000167,1,6,120,5,0.34
APP-000168,1,7,30,6,0.92
APP-000169,1,7,180,6,0.56
APP-000170,0,0,15,18,0.491
APP-000171,0,0,0,60,0.11
APP-000172,1,6,30,5,0.92
APP-000173,1,10,30,9,0.76
APP-000174,0,0,0,24,0.11
APP-000175,1,11,120,10,0.724
APP-000176,0,0,0,48,0.27
APP-000177,0,0,0,48,0.06
APP-000178,1,4,180,3,0.59
APP-000179,1,4,30,3,0.51
APP-000180,0,0,0,48,0.19
APP-000181,0,0,0,12,0.56
APP-000182,1,6,60,5,0.56
APP-000183,1,5,180,4,0.591
APP-000184,0,0,0,24,0.245
APP-000185,0,0,0,36,0.24
APP-000186,0,0,0,36,0.39
APP-000187,0,0,0,36,0.644
APP-000188,1,1,90,0,0.56
APP-000189,0,0,1,12,0.541
APP-000190,0,0,0,18,0.18
APP-000191,1,7,90,6,0.565
APP-000192,1,1,30,0,0.36
APP-000193,0,0,0,24,0.14
APP-000194,0,0,0,60,0.92
APP-000195,1,2,120,1,0.27
APP-000196,0,0,0,24,0.31
APP-000197,0,0,0,48,0.3
APP-000198,0,0,0,36,0.92
APP-000199,0,0,0,36,0.06
APP-000200,0,0,15,48,0.42
APP-000201,0,0,0,36,0.62
APP-000202,0,0,0,36,0.4
APP-000203,1,3,30,2,0.791
APP-000204,0,0,0,36,0.11
APP-000205,1,3,90,2,0.55
APP-000206,0,0,0,48,0.11
APP-000207,1,9,30,8,0.27
APP-000208,0,0,0,24,0.56
APP-000209,0,0,0,48,0.43
APP-000210,1,3,90,2,0.28
APP-000211,1,3,90,2,0.38
APP-000212,1,3,120,2,0.68
APP-000213,0,0,1,36,0.38
APP-000214,0,0,0,36,0.44
APP-000215,1,9,30,8,0.35
APP-000216,1,10,90,9,0.28
APP-000217,0,0,0,48,0.54
APP-000218,0,0,0,36,0.34
APP-000219,0,0,5,48,0.06
APP-000220,1,1,180,0,0.14
APP-000221,1,2,60,1,0.92
APP-000222,1,3,60,2,0.92
APP-000223,0,0,0,48,0.245
APP-000224,0,0,0,48,0.09
APP-000225,0,0,5,48,0.42
APP-000226,1,7,120,6,0.19
APP-000227,0,0,0,36,0.27
APP-000228,1,3,90,2,0.571
APP-000229,0,0,0,48,0.46
APP-000230,1,12,60,11,0.75
APP-000231,1,5,60,4,0.92
APP-000232,1,10,180,9,0.92
APP-000233,0,0,0,24,0.421
APP-000234,1,7,180,6,0.92
APP-000235,0,0,1,36,0.38
APP-000236,1,5,30,4,0.18
APP-000237,0,0,0,48,0.38
APP-000238,1,1,60,0,0.59
APP-000239,0,0,0,60,0.26
APP-000240,0,0,0,48,0.11
APP-000241,0,0,0,36,0.41
APP-000242,0,0,0,36,0.54
APP-000243,0,0,0,36,0.11
APP-000244,0,0,15,36,0.06
APP-000245,1,3,60,2,0.73
APP-000246,0,0,1,36,0.19
APP-000247,0,0,5,18,0.245
APP-000248,1,9,120,8,0.7715
APP-000249,1,7,180,6,0.92
APP-000250,0,0,0,36,0.18
APP-000251,1,9,90,8,0.68
APP-000252,0,0,0,48,0.22
APP-000253,0,0,0,48,0.56
APP-000254,1,10,120,9,0.92
APP-000255,0,0,0,36,0.17
APP-000256,0,0,0,48,0.38
APP-000257,0,0,0,18,0.31
APP-000258,1,6,120,5,0.88
APP-000259,1,2,180,1,0.92
APP-000260,0,0,0,24,0.49
APP-000261,0,0,0,24,0.18
APP-000262,1,7,120,6,0.8515
APP-000263,0,0,0,60,0.14
APP-000264,1,2,90,1,0.19
APP-000265,1,4,90,3,0.44
APP-000266,1,2,60,1,0.91
APP-000267,0,0,0,60,0.34
APP-000268,1,9,30,8,0.68
APP-000269,0,0,0,36,0.19
APP-000270,0,0,0,24,0.26
APP-000271,1,4,180,3,0.5
APP-000272,1,9,60,8,0.691
APP-000273,1,9,90,8,0.661
APP-000274,1,2,90,1,0.591
APP-000275,0,0,0,36,0.54
APP-000276,1,9,90,8,0.565
APP-000277,1,3,90,2,0.501
APP-000278,0,0,0,48,0.26
APP-000279,1,9,120,8,0.34
APP-000280,0,0,0,36,0.371
APP-000281,0,0,0,18,0.31
APP-000282,1,4,180,3,0.92
APP-000283,1,6,90,5,0.92
APP-000284,1,5,60,4,0.92
APP-000285,0,0,0,36,0.19
APP-000286,1,6,180,5,0.891
APP-000287,0,0,0,48,0.391
APP-000288,1,11,120,10,0.92
APP-000289,0,0,0,12,0.38
APP-000290,0,0,1,24,0.33
APP-000291,1,5,90,4,0.49
APP-000292,1,3,120,2,0.56
APP-000293,0,0,0,36,0.06
APP-000294,0,0,0,36,0.34
APP-000295,1,5,90,4,0.46
APP-000296,0,0,5,36,0.26
APP-000297,1,4,120,3,0.791
APP-000298,1,7,60,6,0.28
APP-000299,1,10,90,9,0.8
APP-000300,0,0,0,36,0.06
APP-000301,1,4,120,3,0.11
APP-000302,1,5,180,4,0.56
APP-000303,1,10,60,9,0.92
APP-000304,0,0,0,24,0.06
APP-000305,1,5,120,4,0.18
APP-000306,1,3,120,2,0.11
APP-000307,1,10,60,9,0.92
APP-000308,0,0,0,24,0.56
APP-000309,1,8,60,7,0.18
APP-000310,1,6,60,5,0.92
APP-000311,0,0,0,48,0.61
APP-000312,0,0,0,36,0.06
APP-000313,1,6,60,5,0.46
APP-000314,0,0,1,36,0.46
APP-000315,1,3,180,2,0.73
APP-000316,0,0,0,36,0.26
APP-000317,0,0,0,36,0.71
APP-000318,1,10,60,9,0.92
APP-000319,0,0,0,12,0.168
APP-000320,0,0,0,60,0.46
APP-000321,0,0,0,18,0.31
APP-000322,1,5,120,4,0.53
APP-000323,0,0,0,36,0.64
APP-000324,0,0,0,60,0.71
APP-000325,0,0,0,60,0.34
APP-000326,0,0,0,24,0.26
APP-000327,1,7,90,6,0.11
APP-000328,1,3,180,2,0.59
APP-000329,0,0,0,36,0.26
APP-000330,1,9,120,8,0.16
APP-000331,0,0,1,48,0.73
APP-000332,0,0,0,24,0.4365
APP-000333,1,8,30,7,0.57
APP-000334,0,0,1,36,0.23
APP-000335,1,2,90,1,0.341
APP-000336,0,0,0,60,0.16
APP-000337,1,10,180,9,0.59
APP-000338,1,4,60,3,0.19
APP-000339,1,8,60,7,0.19
APP-000340,0,0,15,48,0.19
APP-000341,0,0,0,48,0.11
APP-000342,0,0,15,60,0.14
APP-000343,1,10,90,9,0.668
APP-000344,0,0,15,60,0.06
APP-000345,0,0,0,60,0.11
APP-000346,1,3,120,2,0.92
APP-000347,0,0,0,36,0.18
APP-000348,0,0,15,24,0.92
APP-000349,0,0,0,48,0.36
APP-000350,1,4,90,3,0.26
APP-000351,1,1,30,0,0.504
APP-000352,0,0,0,48,0.38
APP-000353,0,0,1,24,0.28
APP-000354,1,1,30,0,0.92
APP-000355,0,0,0,36,0.22
APP-000356,0,0,1,60,0.06
APP-000357,1,6,180,5,0.41
APP-000358,1,5,120,4,0.795
APP-000359,0,0,15,60,0.168
APP-000360,1,8,180,7,0.92
APP-000361,0,0,0,36,0.691
APP-000362,1,7,180,6,0.92
APP-000363,1,9,90,8,0.56
APP-000364,0,0,0,48,0.33
APP-000365,1,5,90,4,0.571
APP-000366,0,0,0,60,0.06
APP-000367,1,7,60,6,0.245
APP-000368,1,8,60,7,0.92
APP-000369,1,1,120,0,0.68
APP-000370,0,0,0,48,0.16
APP-000371,0,0,0,36,0.26
APP-000372,1,7,180,6,0.31
APP-000373,1,6,90,5,0.47
APP-000374,0,0,0,36,0.5115
APP-000375,1,1,90,0,0.28
APP-000376,0,0,0,36,0.56
APP-000377,1,6,30,5,0.36
APP-000378,0,0,0,18,0.26
APP-000379,0,0,0,36,0.11
APP-000380,0,0,0,36,0.47
APP-000381,0,0,0,48,0.47
APP-000382,1,2,90,1,0.34
APP-000383,0,0,0,24,0.19
APP-000384,0,0,0,36,0.35
APP-000385,1,11,60,10,0.54
APP-000386,1,7,90,6,0.92
APP-000387,1,6,120,5,0.92
APP-000388,1,12,90,11,0.06
APP-000389,0,0,0,36,0.83
APP-000390,0,0,1,36,0.371
APP-000391,0,0,0,48,0.31
APP-000392,1,6,180,5,0.19
APP-000393,1,12,60,11,0.53
APP-000394,1,5,30,4,0.26
APP-000395,0,0,15,36,0.18
APP-000396,1,5,30,4,0.06
APP-000397,0,0,0,18,0.18
APP-000398,1,2,120,1,0.82
APP-000399,0,0,0,36,0.27
APP-000400,1,7,120,6,0.704
APP-000401,1,3,60,2,0.43
APP-000402,0,0,0,60,0.308
APP-000403,1,1,30,0,0.804
APP-000404,1,9,60,8,0.92
APP-000405,0,0,0,36,0.39
APP-000406,0,0,0,60,0.54
APP-000407,0,0,0,24,0.19
APP-000408,0,0,0,60,0.34
APP-000409,1,7,120,6,0.66
APP-000410,1,5,120,4,0.46
APP-000411,1,7,120,6,0.74
APP-000412,0,0,5,36,0.46
APP-000413,1,12,120,11,0.14
APP-000414,0,0,0,18,0.18
APP-000415,0,0,0,60,0.46
APP-000416,0,0,0,24,0.308
APP-000417,0,0,0,36,0.06
APP-000418,0,0,0,36,0.42
APP-000419,0,0,0,60,0.11
APP-000420,1,3,60,2,0.55
APP-000421,1,7,60,6,0.421
APP-000422,0,0,1,24,0.31
APP-000423,1,8,60,7,0.53
APP-000424,1,12,90,11,0.16
APP-000425,0,0,0,36,0.14
APP-000426,1,1,60,0,0.46
APP-000427,0,0,5,36,0.504
APP-000428,1,1,120,0,0.4
APP-000429,0,0,0,36,0.341
APP-000430,1,6,90,5,0.92
APP-000431,0,0,1,60,0.16
APP-000432,0,0,0,36,0.388
APP-000433,1,6,120,5,0.92
APP-000434,1,5,60,4,0.68
APP-000435,1,5,60,4,0.864
APP-000436,1,1,30,0,0.68
APP-000437,1,11,60,10,0.76
APP-000438,1,4,60,3,0.92
APP-000439,1,7,60,6,0.92
APP-000440,0,0,0,24,0.68
APP-000441,1,10,180,9,0.77
APP-000442,0,0,0,24,0.59
APP-000443,1,4,180,3,0.92
APP-000444,1,8,60,7,0.791
APP-000445,0,0,0,36,0.24
APP-000446,1,6,90,5,0.411
APP-000447,0,0,0,36,0.26
APP-000448,0,0,15,48,0.38
APP-000449,0,0,0,48,0.34
APP-000450,0,0,15,36,0.11
APP-000451,0,0,1,24,0.34
APP-000452,0,0,0,24,0.66
APP-000453,0,0,15,24,0.27
APP-000454,0,0,0,48,0.724
APP-000455,0,0,15,60,0.11
APP-000456,1,3,120,2,0.28
APP-000457,0,0,0,36,0.391
APP-000458,0,0,15,60,0.245
APP-000459,0,0,0,24,0.691
APP-000460,0,0,0,48,0.73
APP-000461,0,0,0,36,0.291
APP-000462,0,0,1,24,0.4365
APP-000463,0,0,0,48,0.26
APP-000464,1,6,180,5,0.21
APP-000465,0,0,0,48,0.11
APP-000466,0,0,0,48,0.11
APP-000467,0,0,0,36,0.46
APP-000468,0,0,0,48,0.49
APP-000469,0,0,0,60,0.451
APP-000470,1,9,90,8,0.68
APP-000471,0,0,0,48,0.24
APP-000472,0,0,0,36,0.11
APP-000473,1,10,90,9,0.45
APP-000474,0,0,0,24,0.06
APP-000475,1,11,90,10,0.584
APP-000476,1,2,180,1,0.92
APP-000477,1,4,60,3,0.81
APP-000478,0,0,5,24,0.06
APP-000479,1,5,90,4,0.41
APP-000480,1,6,30,5,0.8
APP-000481,0,0,0,36,0.14
APP-000482,0,0,0,60,0.64
APP-000483,0,0,0,60,0.14
APP-000484,1,2,30,1,0.56
APP-000485,0,0,5,12,0.33
APP-000486,1,4,180,3,0.38
APP-000487,0,0,1,36,0.18
APP-000488,0,0,0,24,0.23
APP-000489,0,0,0,36,0.11
APP-000490,0,0,0,24,0.06
APP-000491,1,5,90,4,0.365
APP-000492,0,0,1,12,0.11
APP-000493,0,0,1,12,0.23
APP-000494,1,7,90,6,0.38
APP-000495,0,0,0,60,0.46
APP-000496,1,5,90,4,0.8965
APP-000497,1,3,90,2,0.7365
APP-000498,1,5,90,4,0.43
APP-000499,0,0,0,18,0.14
APP-000500,0,0,0,48,0.27
APP-000501,1,2,90,1,0.31
APP-000502,1,2,60,1,0.771
APP-000503,0,0,0,48,0.14
APP-000504,1,7,90,6,0.19
APP-000505,0,0,0,24,0.31
APP-000506,0,0,0,60,0.371
APP-000507,0,0,0,36,0.06
APP-000508,0,0,0,24,0.06
APP-000509,0,0,0,36,0.388
APP-000510,1,3,120,2,0.565
APP-000511,0,0,1,60,0.46
APP-000512,1,7,30,6,0.76
APP-000513,1,3,90,2,0.92
APP-000514,0,0,1,36,0.24
APP-000515,0,0,0,60,0.26
APP-000516,1,3,90,2,0.6
APP-000517,0,0,1,36,0.26
APP-000518,1,4,90,3,0.74
APP-000519,0,0,0,36,0.27
APP-000520,1,4,180,3,0.38
APP-000521,1,8,60,7,0.92
APP-000522,0,0,0,48,0.27
APP-000523,0,0,0,36,0.245
APP-000524,1,8,60,7,0.78
APP-000525,1,4,120,3,0.571
APP-000526,0,0,0,48,0.06
APP-000527,1,4,90,3,0.76
APP-000528,0,0,0,60,0.26
APP-000529,0,0,0,60,0.36
APP-000530,1,6,120,5,0.92
APP-000531,1,3,90,2,0.47
APP-000532,1,3,90,2,0.871
APP-000533,0,0,1,24,0.26
APP-000534,1,3,120,2,0.91
APP-000535,0,0,0,48,0.11
APP-000536,1,7,120,6,0.92
APP-000537,0,0,0,36,0.11
APP-000538,0,0,1,36,0.3
APP-000539,0,0,0,18,0.5
APP-000540,0,0,0,48,0.39
APP-000541,0,0,0,36,0.19
APP-000542,0,0,0,24,0.388
APP-000543,0,0,0,48,0.371
APP-000544,0,0,0,36,0.06
APP-000545,1,9,90,8,0.83
APP-000546,0,0,0,36,0.61
APP-000547,0,0,1,36,0.3
APP-000548,1,10,90,9,0.341
APP-000549,1,3,60,2,0.64
APP-000550,0,0,0,24,0.42
APP-000551,1,1,120,0,0.78
APP-000552,0,0,0,48,0.291
APP-000553,0,0,0,60,0.545
APP-000554,0,0,0,36,0.14
APP-000555,0,0,0,48,0.06
APP-000556,1,1,120,0,0.92
APP-000557,0,0,0,24,0.21
APP-000558,1,2,90,1,0.26
APP-000559,1,6,30,5,0.46
APP-000560,1,9,90,8,0.92
APP-000561,1,5,90,4,0.838
APP-000562,0,0,0,60,0.24
APP-000563,1,4,120,3,0.92
APP-000564,0,0,0,36,0.19
APP-000565,0,0,1,18,0.421
APP-000566,1,9,120,8,0.591
APP-000567,1,1,90,0,0.92
APP-000568,1,7,180,6,0.64
APP-000569,0,0,0,24,0.168
APP-000570,1,2,180,1,0.58
APP-000571,0,0,0,36,0.36
APP-000572,1,5,120,4,0.92
APP-000573,1,7,180,6,0.388
APP-000574,1,8,90,7,0.66
APP-000575,1,3,60,2,0.56
APP-000576,1,6,60,5,0.43
APP-000577,0,0,1,48,0.11
APP-000578,0,0,1,24,0.14
APP-000579,1,1,180,0,0.48
APP-000580,1,9,90,8,0.841
APP-000581,1,7,120,6,0.92
APP-000582,0,0,0,48,0.22
APP-000583,1,10,180,9,0.78
APP-000584,0,0,0,24,0.11
APP-000585,1,6,90,5,0.21
APP-000586,0,0,0,36,0.14
APP-000587,0,0,0,60,0.46
APP-000588,1,7,90,6,0.92
APP-000589,0,0,0,48,0.09
APP-000590,0,0,0,24,0.19
APP-000591,1,4,90,3,0.46
APP-000592,0,0,0,12,0.18
APP-000593,1,7,180,6,0.92
APP-000594,1,3,60,2,0.3
APP-000595,1,4,30,3,0.36
APP-000596,0,0,0,60,0.168
APP-000597,0,0,0,36,0.461
APP-000598,1,5,30,4,0.18
APP-000599,1,5,120,4,0.491
APP-000600,1,4,120,3,0.92
APP-000601,1,5,120,4,0.31
APP-000602,0,0,0,36,0.19
APP-000603,1,4,30,3,0.43
APP-000604,0,0,0,18,0.411
APP-000605,0,0,0,18,0.26
APP-000606,1,9,30,8,0.724
APP-000607,0,0,0,60,0.26
APP-000608,0,0,0,48,0.06
APP-000609,1,5,90,4,0.6
APP-000610,0,0,15,36,0.26
APP-000611,1,2,120,1,0.26
APP-000612,0,0,1,60,0.388
APP-000613,1,1,90,0,0.36
APP-000614,1,9,180,8,0.36
APP-000615,1,11,90,10,0.92
APP-000616,1,7,90,6,0.92
APP-000617,0,0,0,48,0.59
APP-000618,1,5,90,4,0.51
APP-000619,0,0,0,18,0.06
APP-000620,0,0,1,36,0.27
APP-000621,0,0,0,24,0.34
APP-000622,0,0,5,36,0.11
APP-000623,1,7,60,6,0.61
APP-000624,0,0,1,24,0.76
APP-000625,1,2,120,1,0.23
APP-000626,0,0,0,48,0.11
APP-000627,0,0,0,48,0.21
APP-000628,1,6,90,5,0.31
APP-000629,1,7,60,6,0.63
APP-000630,1,4,180,3,0.51
APP-000631,1,4,90,3,0.66
APP-000632,0,0,0,48,0.678
APP-000633,0,0,15,36,0.26
APP-000634,0,0,0,36,0.441
APP-000635,1,5,120,4,0.308
APP-000636,1,7,30,6,0.46
APP-000637,1,6,60,5,0.75
APP-000638,1,5,180,4,0.64
APP-000639,0,0,0,36,0.425
APP-000640,1,10,120,9,0.56
APP-000641,1,5,90,4,0.4
APP-000642,0,0,1,18,0.38
APP-000643,0,0,0,24,0.06
APP-000644,1,1,90,0,0.46
APP-000645,1,1,180,0,0.19
APP-000646,0,0,0,36,0.11
APP-000647,0,0,0,36,0.06
APP-000648,1,4,90,3,0.34
APP-000649,1,1,90,0,0.68
APP-000650,1,5,30,4,0.41
APP-000651,0,0,0,24,0.18
APP-000652,0,0,0,24,0.26
APP-000653,0,0,0,24,0.3
APP-000654,0,0,0,36,0.56
APP-000655,0,0,0,24,0.76
APP-000656,0,0,0,36,0.09
APP-000657,0,0,1,24,0.461
APP-000658,1,5,90,4,0.19
APP-000659,1,6,90,5,0.23
APP-000660,1,3,60,2,0.41
APP-000661,0,0,0,48,0.3
APP-000662,0,0,0,48,0.46
APP-000663,1,11,120,10,0.46
APP-000664,0,0,5,24,0.81
APP-000665,0,0,1,48,0.584
APP-000666,1,4,30,3,0.808
APP-000667,1,6,30,5,0.92
APP-000668,0,0,5,18,0.32
APP-000669,1,5,30,4,0.92
APP-000670,1,3,90,2,0.92
APP-000671,1,3,60,2,0.92
APP-000672,0,0,0,60,0.11
APP-000673,1,5,30,4,0.27
APP-000674,0,0,0,24,0.371
APP-000675,0,0,0,36,0.165
APP-000676,1,6,90,5,0.528
APP-000677,0,0,15,24,0.491
APP-000678,0,0,1,48,0.19
APP-000679,0,0,15,36,0.56
APP-000680,1,5,120,4,0.92
APP-000681,0,0,0,18,0.48
APP-000682,0,0,0,36,0.421
APP-000683,0,0,0,60,0.06
APP-000684,0,0,0,60,0.371
APP-000685,0,0,0,36,0.11
APP-000686,1,5,180,4,0.641
APP-000687,1,3,90,2,0.92
APP-000688,1,6,180,5,0.27
APP-000689,1,1,90,0,0.371
APP-000690,0,0,0,48,0.28
APP-000691,0,0,0,24,0.26
APP-000692,1,3,90,2,0.72
APP-000693,0,0,1,48,0.11
APP-000694,1,4,90,3,0.89
APP-000695,0,0,0,24,0.66
APP-000696,0,0,0,24,0.26
APP-000697,0,0,0,48,0.48
APP-000698,1,8,60,7,0.491
APP-000699,0,0,0,48,0.14
APP-000700,0,0,0,24,0.26
APP-000701,1,11,180,10,0.92
APP-000702,0,0,0,36,0.14
APP-000703,0,0,0,36,0.291
APP-000704,1,5,30,4,0.66
APP-000705,1,8,60,7,0.26
APP-000706,1,3,30,2,0.86
APP-000707,0,0,0,60,0.508
APP-000708,0,0,0,24,0.51
APP-000709,0,0,0,60,0.7
APP-000710,0,0,15,48,0.39
APP-000711,1,10,120,9,0.54
APP-000712,0,0,1,60,0.371
APP-000713,1,5,90,4,0.86
APP-000714,0,0,0,36,0.72
APP-000715,1,1,90,0,0.68
APP-000716,1,2,90,1,0.54
APP-000717,0,0,1,36,0.471
APP-000718,1,6,120,5,0.56
APP-000719,1,6,60,5,0.83
APP-000720,0,0,0,48,0.27
APP-000721,1,9,120,8,0.51
APP-000722,0,0,0,48,0.27
APP-000723,0,0,0,36,0.17
APP-000724,0,0,0,36,0.28
APP-000725,0,0,0,24,0.76
APP-000726,1,1,120,0,0.8
APP-000727,0,0,0,36,0.23
APP-000728,1,4,90,3,0.92
APP-000729,0,0,0,36,0.245
APP-000730,0,0,5,24,0.46
APP-000731,1,6,90,5,0.561
APP-000732,0,0,0,60,0.06
APP-000733,1,9,90,8,0.92
APP-000734,1,4,60,3,0.48
APP-000735,1,10,60,9,0.44
APP-000736,0,0,0,48,0.19
APP-000737,0,0,0,36,0.528
APP-000738,1,3,120,2,0.641
APP-000739,0,0,1,60,0.11
APP-000740,1,3,30,2,0.541
APP-000741,0,0,0,60,0.11
APP-000742,1,4,90,3,0.92
APP-000743,0,0,0,48,0.451
APP-000744,0,0,15,48,0.59
APP-000745,0,0,1,48,0.47
APP-000746,0,0,0,24,0.46
APP-000747,0,0,0,36,0.23
APP-000748,1,11,90,10,0.618
APP-000749,1,2,120,1,0.46
APP-000750,1,10,90,9,0.724
APP-000751,0,0,0,36,0.19
APP-000752,1,8,30,7,0.36
APP-000753,1,8,60,7,0.69
APP-000754,1,4,60,3,0.68
APP-000755,1,6,90,5,0.92
APP-000756,0,0,0,12,0.06
APP-000757,0,0,0,36,0.165
APP-000758,1,5,60,4,0.27
APP-000759,0,0,5,48,0.11
APP-000760,1,8,120,7,0.45
APP-000761,1,4,30,3,0.49
APP-000762,1,2,90,1,0.51
APP-000763,0,0,0,36,0.24
APP-000764,1,4,90,3,0.84
APP-000765,1,4,120,3,0.645
APP-000766,1,7,90,6,0.35
APP-000767,1,7,30,6,0.168
APP-000768,1,7,90,6,0.864
APP-000769,0,0,0,18,0.92
APP-000770,0,0,0,12,0.11
APP-000771,0,0,1,36,0.165
APP-000772,1,3,90,2,0.92
APP-000773,1,8,90,7,0.33
