application_id,quarter,declared_turnover,tax_paid,filing_status,days_late
APP-000052,Q2-2024,211038.0,28307.0,Filed On Time,0.0
APP-000052,Q3-2024,195117.0,17431.0,Filed On Time,0.0
APP-000052,Q4-2024,280558.0,37604.0,Filed On Time,0.0
APP-000054,Q1-2024,232454.0,23572.0,Late,14.0
APP-000054,Q2-2024,327303.0,48475.0,Late,105.0
APP-000054,Q3-2024,,,Missing,
APP-000054,Q4-2024,276905.0,48942.0,Filed On Time,0.0
APP-000057,Q1-2023,144881.0,12841.0,Filed On Time,0.0
APP-000057,Q2-2023,112301.0,12415.0,Late,23.0
APP-000057,Q3-2023,103880.0,18318.0,Late,12.0
APP-000057,Q4-2023,,,Missing,
APP-000057,Q1-2024,89820.0,14776.0,Filed On Time,0.0
APP-000057,Q2-2024,151283.0,21901.0,Late,118.0
APP-000057,Q3-2024,120868.0,14221.0,Filed On Time,0.0
APP-000057,Q4-2024,145461.0,20506.0,Late,111.0
APP-000059,Q1-2023,140463.0,16359.0,Filed On Time,0.0
APP-000059,Q2-2023,170937.0,9401.0,Late,55.0
APP-000059,Q3-2023,227212.0,14374.0,Filed On Time,0.0
APP-000059,Q4-2023,,,Missing,
APP-000059,Q1-2024,152545.0,24711.0,Filed On Time,0.0
APP-000059,Q2-2024,,,Missing,
APP-000059,Q3-2024,178590.0,18695.0,Filed On Time,0.0
APP-000059,Q4-2024,211695.0,18259.0,Filed On Time,0.0
APP-000061,Q1-2023,584054.0,36763.0,Late,88.0
APP-000061,Q2-2023,615794.0,49674.0,Filed On Time,0.0
APP-000061,Q3-2023,722624.0,74154.0,Filed On Time,0.0
APP-000061,Q4-2023,636519.0,42035.0,Late,40.0
APP-000061,Q1-2024,425055.0,67837.0,Filed On Time,0.0
APP-000061,Q2-2024,514851.0,88307.0,Filed On Time,0.0
APP-000061,Q3-2024,444846.0,45873.0,Late,92.0
APP-000061,Q4-2024,438202.0,68786.0,Filed On Time,0.0
APP-000065,Q1-2023,1472270.0,214457.0,Late,14.0
APP-000065,Q2-2023,1691443.0,95442.0,Late,18.0
APP-000065,Q3-2023,1655548.0,101416.0,Filed On Time,0.0
APP-000065,Q4-2023,,,Missing,
APP-000065,Q1-2024,1904529.0,131274.0,Filed On Time,0.0
APP-000065,Q2-2024,,,Missing,
APP-000065,Q3-2024,,,Missing,
APP-000065,Q4-2024,1556509.0,172621.0,Filed On Time,0.0
APP-000066,Q1-2023,,,Missing,
APP-000066,Q2-2023,263662.0,45230.0,Late,29.0
APP-000066,Q3-2023,245471.0,16642.0,Filed On Time,0.0
APP-000066,Q4-2023,203276.0,12603.0,Late,86.0
APP-000066,Q1-2024,216208.0,30160.0,Late,111.0
APP-000066,Q2-2024,230842.0,29449.0,Late,70.0
APP-000066,Q3-2024,233375.0,18854.0,Filed On Time,0.0
APP-000066,Q4-2024,259147.0,43250.0,Late,111.0
APP-000067,Q1-2023,272932.0,22079.0,Filed On Time,0.0
APP-000067,Q2-2023,283471.0,47729.0,Late,108.0
APP-000067,Q3-2023,,,Missing,
APP-000067,Q4-2023,231463.0,27383.0,Filed On Time,0.0
APP-000067,Q1-2024,256456.0,19275.0,Late,23.0
APP-000067,Q2-2024,,,Missing,
APP-000067,Q3-2024,172063.0,17768.0,Filed On Time,0.0
APP-000067,Q4-2024,226256.0,18451.0,Filed On Time,0.0
APP-000068,Q1-2023,179331.0,19865.0,Filed On Time,0.0
APP-000068,Q2-2023,262883.0,16289.0,Filed On Time,0.0
APP-000068,Q3-2023,218075.0,12819.0,Filed On Time,0.0
APP-000068,Q4-2023,237569.0,16098.0,Filed On Time,0.0
APP-000068,Q1-2024,214037.0,19228.0,Filed On Time,0.0
APP-000068,Q2-2024,216377.0,16882.0,Late,19.0
APP-000068,Q3-2024,264426.0,24935.0,Late,68.0
APP-000068,Q4-2024,240934.0,35896.0,Filed On Time,0.0
APP-000070,Q1-2023,445310.0,75777.0,Filed On Time,0.0
APP-000070,Q2-2023,326821.0,52685.0,Late,62.0
APP-000070,Q3-2023,,,Missing,
APP-000070,Q4-2023,345810.0,37265.0,Late,119.0
APP-000070,Q1-2024,309827.0,19546.0,Filed On Time,0.0
APP-000070,Q2-2024,294099.0,30354.0,Late,110.0
APP-000070,Q3-2024,455774.0,67282.0,Filed On Time,0.0
APP-000070,Q4-2024,434192.0,42640.0,Late,58.0
APP-000072,Q1-2023,134116.0,13731.0,Filed On Time,0.0
APP-000072,Q2-2023,147652.0,10091.0,Late,53.0
APP-000072,Q3-2023,110855.0,16024.0,Filed On Time,0.0
APP-000072,Q4-2023,183117.0,16671.0,Filed On Time,0.0
APP-000072,Q1-2024,117817.0,14941.0,Late,105.0
APP-000072,Q2-2024,188071.0,29161.0,Filed On Time,0.0
APP-000072,Q3-2024,168439.0,20943.0,Filed On Time,0.0
APP-000072,Q4-2024,,,Missing,
APP-000073,Q1-2023,100998.0,17943.0,Filed On Time,0.0
APP-000073,Q2-2023,166640.0,26703.0,Late,2.0
APP-000073,Q3-2023,148450.0,14902.0,Filed On Time,0.0
APP-000073,Q4-2023,171765.0,12791.0,Late,26.0
APP-000073,Q1-2024,169329.0,11578.0,Late,66.0
APP-000073,Q2-2024,174928.0,15600.0,Filed On Time,0.0
APP-000073,Q3-2024,146141.0,23409.0,Filed On Time,0.0
APP-000073,Q4-2024,121547.0,20751.0,Filed On Time,0.0
APP-000078,Q1-2023,225317.0,19533.0,Late,103.0
APP-000078,Q2-2023,153544.0,19728.0,Late,18.0
APP-000078,Q3-2023,187014.0,30580.0,Filed On Time,0.0
APP-000078,Q4-2023,157553.0,8403.0,Filed On Time,0.0
APP-000078,Q1-2024,236599.0,14478.0,Filed On Time,0.0
APP-000078,Q2-2024,208372.0,32761.0,Filed On Time,0.0
APP-000078,Q3-2024,239388.0,14576.0,Filed On Time,0.0
APP-000078,Q4-2024,151159.0,13526.0,Filed On Time,0.0
APP-000081,Q1-2023,309418.0,48334.0,Filed On Time,0.0
APP-000081,Q2-2023,253475.0,31610.0,Filed On Time,0.0
APP-000081,Q3-2023,330835.0,53122.0,Filed On Time,0.0
APP-000081,Q4-2023,,,Missing,
APP-000081,Q1-2024,377999.0,36174.0,Filed On Time,0.0
APP-000081,Q2-2024,321064.0,32733.0,Filed On Time,0.0
APP-000081,Q3-2024,241659.0,19199.0,Filed On Time,0.0
APP-000081,Q4-2024,,,Missing,
APP-000084,Q1-2023,161696.0,14706.0,Filed On Time,0.0
APP-000084,Q2-2023,104499.0,17780.0,Filed On Time,0.0
APP-000084,Q3-2023,131770.0,13281.0,Filed On Time,0.0
APP-000084,Q4-2023,115213.0,8722.0,Filed On Time,0.0
APP-000084,Q1-2024,148030.0,20760.0,Filed On Time,0.0
APP-000084,Q2-2024,110194.0,11763.0,Filed On Time,0.0
APP-000084,Q3-2024,125414.0,7210.0,Filed On Time,0.0
APP-000084,Q4-2024,124125.0,21331.0,Filed On Time,0.0
APP-000085,Q1-2024,228561.0,28012.0,Filed On Time,0.0
APP-000085,Q2-2024,317144.0,37402.0,Filed On Time,0.0
APP-000085,Q3-2024,215213.0,21548.0,Filed On Time,0.0
APP-000085,Q4-2024,260452.0,23499.0,Late,46.0
APP-000086,Q1-2023,124134.0,20401.0,Late,101.0
APP-000086,Q2-2023,195949.0,34494.0,Late,4.0
APP-000086,Q3-2023,132402.0,13627.0,Filed On Time,0.0
APP-000086,Q4-2023,169061.0,15722.0,Filed On Time,0.0
APP-000086,Q1-2024,162733.0,20371.0,Filed On Time,0.0
APP-000086,Q2-2024,162511.0,21151.0,Filed On Time,0.0
APP-000086,Q3-2024,186754.0,12595.0,Late,62.0
APP-000086,Q4-2024,160445.0,9105.0,Filed On Time,0.0
APP-000087,Q1-2023,,,Missing,
APP-000087,Q2-2023,,,Missing,
APP-000087,Q3-2023,,,Missing,
APP-000087,Q4-2023,232793.0,16676.0,Late,69.0
APP-000087,Q1-2024,195609.0,11854.0,Filed On Time,0.0
APP-000087,Q2-2024,224643.0,24004.0,Filed On Time,0.0
APP-000087,Q3-2024,184394.0,22421.0,Filed On Time,0.0
APP-000087,Q4-2024,247873.0,13822.0,Filed On Time,0.0
APP-000089,Q1-2023,469909.0,73766.0,Filed On Time,0.0
APP-000089,Q2-2023,455352.0,25715.0,Filed On Time,0.0
APP-000089,Q3-2023,,,Missing,
APP-000089,Q4-2023,558375.0,55770.0,Filed On Time,0.0
APP-000089,Q1-2024,530003.0,69770.0,Late,52.0
APP-000089,Q2-2024,330669.0,39930.0,Filed On Time,0.0
APP-000089,Q3-2024,533741.0,56974.0,Filed On Time,0.0
APP-000089,Q4-2024,508639.0,29439.0,Late,65.0
APP-000091,Q1-2023,222333.0,20103.0,Filed On Time,0.0
APP-000091,Q2-2023,268066.0,42142.0,Filed On Time,0.0
APP-000091,Q3-2023,227213.0,12617.0,Filed On Time,0.0
APP-000091,Q4-2023,261972.0,36642.0,Filed On Time,0.0
APP-000091,Q1-2024,184722.0,31158.0,Filed On Time,0.0
APP-000091,Q2-2024,278416.0,44149.0,Filed On Time,0.0
APP-000091,Q3-2024,250665.0,31160.0,Filed On Time,0.0
APP-000091,Q4-2024,190825.0,23409.0,Filed On Time,0.0
APP-000094,Q1-2023,384730.0,64867.0,Late,106.0
APP-000094,Q2-2023,,,Missing,
APP-000094,Q3-2023,390350.0,30883.0,Late,74.0
APP-000094,Q4-2023,,,Missing,
APP-000094,Q1-2024,,,Missing,
APP-000094,Q2-2024,302325.0,42367.0,Filed On Time,0.0
APP-000094,Q3-2024,421076.0,61032.0,Late,88.0
APP-000094,Q4-2024,348803.0,51489.0,Late,14.0
APP-000097,Q1-2023,290021.0,23692.0,Late,24.0
APP-000097,Q2-2023,246513.0,28209.0,Filed On Time,0.0
APP-000097,Q3-2023,207946.0,32859.0,Filed On Time,0.0
APP-000097,Q4-2023,198907.0,13237.0,Filed On Time,0.0
APP-000097,Q1-2024,247979.0,34674.0,Filed On Time,0.0
APP-000097,Q2-2024,202663.0,11909.0,Late,34.0
APP-000097,Q3-2024,260111.0,13258.0,Filed On Time,0.0
APP-000097,Q4-2024,309916.0,53797.0,Filed On Time,0.0
APP-000098,Q1-2023,101514.0,7346.0,Filed On Time,0.0
APP-000098,Q2-2023,100776.0,16548.0,Filed On Time,0.0
APP-000098,Q3-2023,115134.0,12455.0,Late,79.0
APP-000098,Q4-2023,84004.0,8491.0,Filed On Time,0.0
APP-000098,Q1-2024,118662.0,8284.0,Late,60.0
APP-000098,Q2-2024,100551.0,6696.0,Late,17.0
APP-000098,Q3-2024,104474.0,16965.0,Late,40.0
APP-000098,Q4-2024,115797.0,16467.0,Late,98.0
APP-000099,Q1-2023,105293.0,18630.0,Filed On Time,0.0
APP-000099,Q2-2023,,,Missing,
APP-000099,Q3-2023,106320.0,5950.0,Filed On Time,0.0
APP-000099,Q4-2023,87278.0,5178.0,Filed On Time,0.0
APP-000099,Q1-2024,125849.0,10757.0,Filed On Time,0.0
APP-000099,Q2-2024,111070.0,5760.0,Filed On Time,0.0
APP-000099,Q3-2024,122121.0,11826.0,Filed On Time,0.0
APP-000099,Q4-2024,114990.0,14840.0,Filed On Time,0.0
APP-000102,Q1-2024,237067.0,27613.0,Filed On Time,0.0
APP-000102,Q2-2024,245492.0,28294.0,Late,83.0
APP-000102,Q3-2024,327688.0,51230.0,Filed On Time,0.0
APP-000102,Q4-2024,309936.0,26498.0,Late,9.0
APP-000105,Q2-2023,344290.0,55089.0,Filed On Time,0.0
APP-000105,Q3-2023,331040.0,43401.0,Filed On Time,0.0
APP-000105,Q4-2023,228796.0,15703.0,Filed On Time,0.0
APP-000105,Q1-2024,275591.0,22992.0,Filed On Time,0.0
APP-000105,Q2-2024,291786.0,22080.0,Late,58.0
APP-000105,Q3-2024,347135.0,32195.0,Filed On Time,0.0
APP-000105,Q4-2024,385430.0,39108.0,Late,67.0
APP-000107,Q1-2024,202281.0,25550.0,Filed On Time,0.0
APP-000107,Q2-2024,162721.0,13568.0,Late,99.0
APP-000107,Q3-2024,181125.0,14372.0,Filed On Time,0.0
APP-000107,Q4-2024,170815.0,13719.0,Filed On Time,0.0
APP-000112,Q4-2023,249284.0,29319.0,Late,68.0
APP-000112,Q1-2024,381757.0,23825.0,Filed On Time,0.0
APP-000112,Q2-2024,283673.0,40650.0,Filed On Time,0.0
APP-000112,Q3-2024,281395.0,42922.0,Filed On Time,0.0
APP-000112,Q4-2024,284236.0,39070.0,Filed On Time,0.0
APP-000113,Q1-2023,127172.0,10176.0,Filed On Time,0.0
APP-000113,Q2-2023,137944.0,22307.0,Filed On Time,0.0
APP-000113,Q3-2023,109079.0,7501.0,Late,35.0
APP-000113,Q4-2023,105522.0,18657.0,Late,54.0
APP-000113,Q1-2024,107893.0,9188.0,Late,26.0
APP-000113,Q2-2024,150744.0,9598.0,Filed On Time,0.0
APP-000113,Q3-2024,140739.0,15485.0,Filed On Time,0.0
APP-000113,Q4-2024,147622.0,23321.0,Filed On Time,0.0
APP-000117,Q1-2023,79409.0,12342.0,Filed On Time,0.0
APP-000117,Q2-2023,101615.0,9941.0,Filed On Time,0.0
APP-000117,Q3-2023,86540.0,8552.0,Late,59.0
APP-000117,Q4-2023,92588.0,10664.0,Filed On Time,0.0
APP-000117,Q1-2024,101354.0,16558.0,Filed On Time,0.0
APP-000117,Q2-2024,83806.0,5266.0,Filed On Time,0.0
APP-000117,Q3-2024,124044.0,11786.0,Late,46.0
APP-000117,Q4-2024,71996.0,10480.0,Filed On Time,0.0
APP-000120,Q1-2023,151553.0,16410.0,Filed On Time,0.0
APP-000120,Q2-2023,98796.0,5037.0,Filed On Time,0.0
APP-000120,Q3-2023,100856.0,12977.0,Late,76.0
APP-000120,Q4-2023,111879.0,9914.0,Late,37.0
APP-000120,Q1-2024,,,Missing,
APP-000120,Q2-2024,117487.0,12071.0,Late,81.0
APP-000120,Q3-2024,125327.0,10241.0,Late,62.0
APP-000120,Q4-2024,147254.0,23083.0,Late,47.0
APP-000121,Q1-2023,84347.0,5418.0,Filed On Time,0.0
APP-000121,Q2-2023,130618.0,15210.0,Filed On Time,0.0
APP-000121,Q3-2023,105611.0,5401.0,Filed On Time,0.0
APP-000121,Q4-2023,,,Missing,
APP-000121,Q1-2024,89762.0,10691.0,Filed On Time,0.0
APP-000121,Q2-2024,87957.0,14833.0,Filed On Time,0.0
APP-000121,Q3-2024,101862.0,14064.0,Filed On Time,0.0
APP-000121,Q4-2024,,,Missing,
APP-000123,Q1-2024,340787.0,26827.0,Filed On Time,0.0
APP-000123,Q2-2024,294683.0,45354.0,Filed On Time,0.0
APP-000123,Q3-2024,293754.0,48248.0,Filed On Time,0.0
APP-000123,Q4-2024,226547.0,39189.0,Late,82.0
APP-000124,Q1-2023,186540.0,29062.0,Filed On Time,0.0
APP-000124,Q2-2023,159216.0,10933.0,Late,104.0
APP-000124,Q3-2023,157954.0,23688.0,Late,17.0
APP-000124,Q4-2023,151923.0,27036.0,Filed On Time,0.0
APP-000124,Q1-2024,146500.0,12071.0,Late,11.0
APP-000124,Q2-2024,171395.0,27006.0,Late,74.0
APP-000124,Q3-2024,134311.0,14783.0,Late,76.0
APP-000124,Q4-2024,155879.0,19960.0,Filed On Time,0.0
APP-000131,Q1-2023,,,Missing,
APP-000131,Q2-2023,400840.0,71801.0,Filed On Time,0.0
APP-000131,Q3-2023,,,Missing,
APP-000131,Q4-2023,505156.0,74509.0,Filed On Time,0.0
APP-000131,Q1-2024,345501.0,51502.0,Late,26.0
APP-000131,Q2-2024,,,Missing,
APP-000131,Q3-2024,506215.0,63099.0,Filed On Time,0.0
APP-000131,Q4-2024,352333.0,49650.0,Filed On Time,0.0
APP-000139,Q1-2024,72011.0,4714.0,Filed On Time,0.0
APP-000139,Q2-2024,59100.0,2993.0,Filed On Time,0.0
APP-000139,Q3-2024,81483.0,14171.0,Filed On Time,0.0
APP-000139,Q4-2024,61991.0,8645.0,Filed On Time,0.0
APP-000141,Q1-2023,495004.0,71168.0,Filed On Time,0.0
APP-000141,Q2-2023,644768.0,41632.0,Late,63.0
APP-000141,Q3-2023,630354.0,31689.0,Filed On Time,0.0
APP-000141,Q4-2023,573753.0,61361.0,Filed On Time,0.0
APP-000141,Q1-2024,662350.0,97139.0,Late,21.0
APP-000141,Q2-2024,443521.0,34713.0,Filed On Time,0.0
APP-000141,Q3-2024,693868.0,115411.0,Filed On Time,0.0
APP-000141,Q4-2024,674672.0,99887.0,Filed On Time,0.0
APP-000143,Q1-2023,326037.0,27105.0,Late,4.0
APP-000143,Q2-2023,348398.0,44056.0,Late,30.0
APP-000143,Q3-2023,303834.0,30507.0,Filed On Time,0.0
APP-000143,Q4-2023,278003.0,28242.0,Late,105.0
APP-000143,Q1-2024,229091.0,14997.0,Filed On Time,0.0
APP-000143,Q2-2024,305338.0,22079.0,Late,108.0
APP-000143,Q3-2024,322346.0,41634.0,Filed On Time,0.0
APP-000143,Q4-2024,232585.0,15517.0,Filed On Time,0.0
APP-000149,Q1-2023,156260.0,21750.0,Late,25.0
APP-000149,Q2-2023,146540.0,9967.0,Filed On Time,0.0
APP-000149,Q3-2023,152827.0,16527.0,Filed On Time,0.0
APP-000149,Q4-2023,124292.0,18117.0,Late,40.0
APP-000149,Q1-2024,143477.0,17061.0,Late,34.0
APP-000149,Q2-2024,198499.0,20490.0,Filed On Time,0.0
APP-000149,Q3-2024,191962.0,19963.0,Filed On Time,0.0
APP-000149,Q4-2024,,,Missing,
APP-000152,Q1-2023,,,Missing,
APP-000152,Q2-2023,99086.0,15844.0,Late,13.0
APP-000152,Q3-2023,142201.0,14244.0,Late,7.0
APP-000152,Q4-2023,124651.0,13639.0,Filed On Time,0.0
APP-000152,Q1-2024,,,Missing,
APP-000152,Q2-2024,148521.0,13967.0,Filed On Time,0.0
APP-000152,Q3-2024,131050.0,11256.0,Late,118.0
APP-000152,Q4-2024,,,Missing,
APP-000159,Q1-2023,,,Missing,
APP-000159,Q2-2023,155660.0,25103.0,Filed On Time,0.0
APP-000159,Q3-2023,161250.0,16241.0,Late,2.0
APP-000159,Q4-2023,141047.0,21022.0,Filed On Time,0.0
APP-000159,Q1-2024,118840.0,7150.0,Filed On Time,0.0
APP-000159,Q2-2024,123219.0,16028.0,Filed On Time,0.0
APP-000159,Q3-2024,154412.0,26426.0,Filed On Time,0.0
APP-000159,Q4-2024,165863.0,8994.0,Late,2.0
APP-000162,Q1-2023,123125.0,9768.0,Filed On Time,0.0
APP-000162,Q2-2023,,,Missing,
APP-000162,Q3-2023,,,Missing,
APP-000162,Q4-2023,,,Missing,
APP-000162,Q1-2024,190745.0,16891.0,Filed On Time,0.0
APP-000162,Q2-2024,146670.0,23407.0,Late,106.0
APP-000162,Q3-2024,137798.0,23191.0,Late,9.0
APP-000162,Q4-2024,198034.0,23027.0,Filed On Time,0.0
APP-000166,Q1-2023,202165.0,16089.0,Late,73.0
APP-000166,Q2-2023,192376.0,11355.0,Filed On Time,0.0
APP-000166,Q3-2023,227818.0,38003.0,Filed On Time,0.0
APP-000166,Q4-2023,308282.0,30786.0,Filed On Time,0.0
APP-000166,Q1-2024,320905.0,43557.0,Filed On Time,0.0
APP-000166,Q2-2024,242030.0,27321.0,Late,113.0
APP-000166,Q3-2024,281106.0,34722.0,Late,109.0
APP-000166,Q4-2024,226954.0,21568.0,Late,53.0
APP-000167,Q1-2023,194819.0,22962.0,Filed On Time,0.0
APP-000167,Q2-2023,245827.0,27319.0,Filed On Time,0.0
APP-000167,Q3-2023,239769.0,33638.0,Filed On Time,0.0
APP-000167,Q4-2023,178194.0,24803.0,Filed On Time,0.0
APP-000167,Q1-2024,247749.0,20149.0,Filed On Time,0.0
APP-000167,Q2-2024,257690.0,30793.0,Filed On Time,0.0
APP-000167,Q3-2024,273891.0,23259.0,Late,62.0
APP-000167,Q4-2024,177260.0,26724.0,Late,16.0
APP-000168,Q1-2024,,,Missing,
APP-000168,Q2-2024,56868.0,6430.0,Filed On Time,0.0
APP-000168,Q3-2024,43051.0,2364.0,Filed On Time,0.0
APP-000168,Q4-2024,,,Missing,
APP-000172,Q1-2023,,,Missing,
APP-000172,Q2-2023,113601.0,17380.0,Late,28.0
APP-000172,Q3-2023,,,Missing,
APP-000172,Q4-2023,107135.0,7179.0,Filed On Time,0.0
APP-000172,Q1-2024,98816.0,8561.0,Filed On Time,0.0
APP-000172,Q2-2024,113580.0,11336.0,Filed On Time,0.0
APP-000172,Q3-2024,,,Missing,
APP-000172,Q4-2024,85741.0,15367.0,Filed On Time,0.0
APP-000173,Q1-2023,115494.0,17198.0,Late,42.0
APP-000173,Q2-2023,122737.0,19238.0,Filed On Time,0.0
APP-000173,Q3-2023,133683.0,18018.0,Filed On Time,0.0
APP-000173,Q4-2023,131403.0,14985.0,Filed On Time,0.0
APP-000173,Q1-2024,105664.0,11880.0,Filed On Time,0.0
APP-000173,Q2-2024,84988.0,7584.0,Filed On Time,0.0
APP-000173,Q3-2024,128238.0,7767.0,Late,39.0
APP-000173,Q4-2024,95022.0,8941.0,Filed On Time,0.0
