application_id,cibil_score,num_active_loans,total_outstanding_debt,credit_utilization_pct,num_credit_inquiries_30d,num_credit_inquiries_90d,has_previous_default,days_since_last_default,credit_age_months,num_credit_cards
APP-000124,498,2,222973,17.9,4,5,0,0,114,2
APP-000125,693,0,0,23.4,0,0,0,0,127,3
APP-000126,741,2,1357185,51.1,1,1,0,0,131,2
APP-000127,610,0,0,15.7,3,3,1,391,174,1
APP-000128,669,1,120950,12.0,0,0,0,0,86,3
APP-000129,622,2,945768,41.8,2,2,1,1782,96,3
APP-000130,565,2,807293,39.9,2,3,1,1087,75,1
APP-000131,670,1,773996,59.9,1,1,1,504,203,1
APP-000132,526,1,115827,14.5,0,0,1,1639,142,3
APP-000133,790,1,886907,61.5,0,0,0,0,119,1
APP-000134,542,1,225707,37.5,0,1,0,0,144,3
APP-000135,773,2,157757,17.0,0,1,0,0,204,3
APP-000136,570,2,308353,34.3,0,2,1,865,168,3
APP-000137,850,1,327161,73.1,0,1,0,0,134,4
APP-000138,840,0,0,23.5,2,3,0,0,107,1
APP-000139,641,0,0,11.9,0,1,1,286,106,1
APP-000140,515,2,222384,61.6,0,0,1,535,204,1
APP-000141,636,4,4782337,3.7,0,1,1,1630,151,2
APP-000142,674,2,721338,47.3,1,2,0,0,135,2
APP-000143,722,2,312926,24.0,1,1,0,0,142,1
APP-000144,657,1,210642,29.5,0,0,0,0,176,0
APP-000145,677,0,0,2.8,0,2,0,0,113,1
APP-000146,667,3,696337,28.5,1,1,0,0,130,0
APP-000147,690,0,0,2.4,1,1,1,1119,71,2
APP-000148,537,1,137131,11.7,0,0,1,295,153,3
APP-000149,664,1,273383,74.3,0,1,0,0,161,0
APP-000150,743,3,747481,54.4,0,0,0,0,177,3
APP-000151,749,2,483779,61.9,0,0,0,0,156,0
APP-000152,577,2,252832,40.1,1,1,0,0,105,1
APP-000153,743,2,549303,13.6,4,4,0,0,120,0
APP-000154,726,1,234022,34.3,1,1,0,0,182,1
APP-000155,708,2,145044,29.7,0,3,0,0,130,0
APP-000156,780,1,235575,42.9,2,3,0,0,145,1
APP-000157,771,2,1372545,28.4,4,4,0,0,148,1
APP-000158,653,1,117062,76.3,1,2,0,0,136,0
APP-000159,738,3,303487,71.8,2,2,0,0,154,4
APP-000160,687,0,0,13.4,0,0,0,0,111,0
APP-000161,799,2,639851,24.8,2,2,0,0,189,0
APP-000162,653,1,90447,84.7,0,1,0,0,78,2
APP-000163,548,1,258331,18.5,1,3,0,0,107,1
APP-000164,718,1,535784,9.4,1,1,0,0,103,3
APP-000165,690,2,405330,33.6,2,2,0,0,134,2
APP-000166,704,1,578507,30.5,0,0,0,0,206,2
APP-000167,666,4,1287303,60.0,1,3,0,0,101,3
APP-000168,705,1,97835,27.0,0,1,0,0,145,2
APP-000169,703,2,329097,35.1,4,4,0,0,198,4
APP-000170,770,0,0,20.9,2,2,0,0,125,3
APP-000171,719,1,451535,57.3,0,0,0,0,221,1
APP-000172,580,2,185401,57.8,0,1,1,544,141,2
APP-000173,600,1,239571,32.9,1,3,1,795,200,1
APP-000174,750,2,1319099,11.7,1,1,0,0,148,3
APP-000175,743,1,221901,55.5,0,0,0,0,174,1
APP-000176,744,4,350206,61.5,0,0,0,0,131,2
APP-000177,862,0,0,29.1,0,1,0,0,51,1
APP-000178,769,0,0,4.6,3,4,0,0,107,1
APP-000179,674,1,464548,20.4,0,2,1,1473,121,0
APP-000180,761,1,40261,57.7,0,1,0,0,185,3
APP-000181,673,2,1201469,31.4,0,1,0,0,153,1
APP-000182,900,0,0,20.4,0,1,0,0,133,1
APP-000183,595,0,0,19.6,0,1,0,0,178,3
APP-000184,894,1,716929,42.6,0,3,0,0,94,2
APP-000185,713,1,282236,24.7,2,3,0,0,107,1
APP-000186,642,2,365812,28.3,0,0,0,0,129,1
APP-000187,661,1,297545,43.9,2,4,0,0,145,2
APP-000188,652,1,133344,49.9,0,2,0,0,160,2
APP-000189,720,1,300535,76.8,0,0,0,0,84,2
APP-000190,860,2,689708,18.0,0,2,0,0,80,4
APP-000191,702,1,511712,42.7,0,2,0,0,134,2
APP-000192,554,0,0,0.4,0,3,0,0,199,4
APP-000193,789,2,177717,35.2,1,3,0,0,160,4
APP-000194,642,0,0,8.7,3,4,0,0,120,3
APP-000195,655,0,0,20.2,0,0,0,0,97,4
APP-000196,789,2,915648,27.8,0,3,0,0,133,1
APP-000197,658,2,161303,27.0,1,1,0,0,141,1
APP-000198,840,2,183206,32.5,2,2,0,0,140,1
APP-000199,765,1,388977,35.5,0,0,0,0,115,0
APP-000200,634,3,415372,11.8,0,0,0,0,111,2
APP-000201,614,1,352420,47.7,2,3,1,1708,186,2
APP-000202,699,0,0,17.1,1,4,0,0,127,1
APP-000203,723,0,0,9.0,5,7,0,0,88,2
APP-000204,737,1,279978,60.8,0,0,0,0,73,1
APP-000205,607,0,0,15.1,1,1,0,0,179,1
APP-000206,772,2,1206619,65.0,0,0,0,0,164,2
APP-000207,770,2,165201,44.6,1,1,0,0,143,1
APP-000208,547,2,339985,2.5,0,0,1,262,117,0
APP-000209,660,2,385163,20.0,0,1,0,0,113,0
APP-000210,840,0,0,3.7,0,0,0,0,136,3
APP-000211,684,2,575792,23.5,2,2,1,925,233,0
APP-000212,632,2,611977,27.8,1,2,1,1136,135,0
APP-000213,674,0,0,9.8,2,4,1,1578,143,2
APP-000214,579,0,0,26.9,1,1,0,0,80,3
APP-000215,670,2,569647,24.3,0,1,0,0,107,0
APP-000216,762,0,0,5.8,1,2,0,0,93,0
APP-000217,691,1,254506,21.9,2,2,1,1310,70,1
APP-000218,699,1,483355,24.4,0,1,0,0,139,2
APP-000219,900,1,214879,42.1,0,0,0,0,160,1
APP-000220,766,1,873679,28.1,1,2,0,0,129,2
APP-000221,739,1,246476,45.7,3,4,0,0,131,2
APP-000222,695,2,422595,21.5,0,3,1,593,146,3
APP-000223,732,0,0,5.3,0,0,0,0,207,1
APP-000224,764,1,207576,68.9,0,1,0,0,126,2
APP-000225,644,2,253440,89.6,0,3,0,0,133,2
APP-000226,731,1,264046,27.7,0,2,0,0,55,0
APP-000227,739,0,0,4.8,0,2,0,0,81,3
APP-000228,646,4,647352,6.0,0,0,0,0,126,3
APP-000229,647,0,0,29.4,1,3,1,242,143,3
APP-000230,698,2,942239,39.5,4,4,1,938,193,3
APP-000231,602,2,308088,49.5,1,3,0,0,72,1
APP-000232,624,1,131883,52.4,3,4,1,337,141,3
APP-000233,831,4,2086831,44.0,0,0,0,0,116,1
APP-000234,573,2,322662,30.3,0,0,1,735,99,2
APP-000235,688,4,836641,36.8,1,1,1,1157,172,0
APP-000236,684,0,0,21.8,1,2,0,0,139,0
APP-000237,696,1,386166,10.3,0,0,1,487,149,0
APP-000238,630,1,96463,30.9,2,2,1,656,104,3
APP-000239,678,3,142435,44.2,1,3,0,0,71,4
APP-000240,743,3,2540017,43.1,0,0,0,0,182,0
APP-000241,636,1,986930,57.9,4,7,0,0,216,2
APP-000242,604,0,0,10.5,1,2,1,738,93,0
APP-000243,724,1,184071,42.7,0,0,0,0,148,0
APP-000244,797,0,0,20.7,1,1,0,0,137,4
APP-000245,681,1,991210,34.6,0,1,1,1675,152,2
APP-000246,747,0,0,23.9,0,0,0,0,193,0
APP-000247,827,2,151541,42.5,0,0,0,0,164,3
APP-000248,668,3,673078,32.2,1,1,0,0,102,1
APP-000249,803,2,464038,42.1,3,6,0,0,134,1
APP-000250,686,0,0,30.0,1,1,0,0,152,2
APP-000251,602,0,0,26.9,1,2,1,813,140,2
APP-000252,792,1,543047,30.2,1,2,0,0,101,3
APP-000253,851,1,516085,46.0,5,6,0,0,26,2
APP-000254,636,4,558181,57.8,4,7,1,1442,150,1
APP-000255,768,4,408284,67.2,0,1,0,0,152,0
APP-000256,669,2,217794,64.6,0,1,1,449,129,0
APP-000257,731,1,202864,25.3,2,3,0,0,201,1
APP-000258,537,1,208918,54.2,0,0,0,0,56,0
APP-000259,594,2,85075,20.0,4,5,1,1753,147,1
APP-000260,638,1,327030,35.8,4,4,0,0,107,2
APP-000261,855,2,164355,34.6,1,2,0,0,133,1
APP-000262,697,1,232895,41.3,0,3,0,0,180,1
APP-000263,795,3,183721,52.8,0,0,0,0,182,3
APP-000264,703,0,0,4.8,0,0,0,0,147,0
APP-000265,532,0,0,8.1,0,0,0,0,72,3
APP-000266,648,0,0,9.8,4,7,1,341,74,1
APP-000267,696,2,928318,18.0,0,0,0,0,133,2
APP-000268,670,1,255898,46.0,5,7,0,0,130,1
APP-000269,840,3,562488,74.2,0,1,0,0,191,2
APP-000270,752,2,484007,61.0,1,4,0,0,162,2
APP-000271,650,1,421031,44.7,0,0,1,815,154,0
APP-000272,692,0,0,8.2,0,1,1,1111,94,2
APP-000273,676,2,619930,39.3,2,2,0,0,172,2
APP-000274,800,0,0,28.5,0,0,0,0,148,0
APP-000275,812,1,335247,46.7,4,4,0,0,113,2
APP-000276,737,2,1068801,25.2,1,3,0,0,105,2
APP-000277,726,2,2288814,22.1,0,0,0,0,186,0
APP-000278,655,1,81919,55.8,2,5,0,0,191,0
APP-000279,666,1,819457,47.2,1,1,0,0,85,2
APP-000280,808,1,521848,13.2,1,2,0,0,123,3
APP-000281,679,1,364424,19.9,0,0,0,0,163,1
APP-000282,644,0,0,19.4,3,3,1,1513,143,2
APP-000283,610,1,428881,68.4,0,1,1,317,201,0
APP-000284,676,2,222412,37.6,1,1,1,662,130,1
APP-000285,814,2,256492,48.0,1,3,0,0,143,2
APP-000286,643,2,993359,80.5,0,1,1,1561,80,1
APP-000287,723,1,132251,55.1,0,0,0,0,115,2
APP-000288,769,0,0,16.5,3,4,0,0,131,2
APP-000289,690,3,1122262,75.5,1,2,0,0,146,3
APP-000290,678,4,7200751,41.2,3,4,0,0,123,1
APP-000291,575,2,332081,74.6,0,1,0,0,140,1
APP-000292,589,2,925150,56.5,0,1,1,1293,71,2
APP-000293,794,0,0,20.2,1,1,0,0,159,0
APP-000294,661,0,0,13.8,0,3,0,0,169,3
APP-000295,667,0,0,29.6,0,1,1,798,113,3
APP-000296,650,1,303097,17.9,2,2,0,0,230,1
APP-000297,679,1,163912,44.6,0,0,0,0,114,2
APP-000298,794,2,624573,29.2,1,1,0,0,147,1
APP-000299,589,2,90647,36.0,0,0,1,314,200,1
APP-000300,835,1,215891,29.4,0,2,0,0,196,4
APP-000301,809,2,919545,53.4,0,0,0,0,184,2
APP-000302,507,0,0,11.8,0,0,1,1733,79,2
APP-000303,625,1,246930,46.7,1,2,1,470,108,2
APP-000304,859,0,0,15.7,0,3,0,0,182,3
APP-000305,656,0,0,24.7,0,0,0,0,205,1
APP-000306,730,1,303495,64.1,1,2,0,0,54,3
APP-000307,631,3,198719,56.5,1,1,0,0,116,1
APP-000308,874,2,2222933,42.0,4,5,0,0,172,2
APP-000309,694,1,281032,78.6,2,2,0,0,150,1
APP-000310,582,1,434298,6.3,0,0,0,0,131,3
APP-000311,633,3,629012,30.5,0,0,0,0,137,4
APP-000312,767,1,969880,13.3,0,2,0,0,152,3
APP-000313,711,0,0,12.7,3,6,0,0,167,1
APP-000314,641,4,1311077,42.7,2,3,1,1202,180,1
APP-000315,621,1,268112,40.0,4,5,1,1355,157,0
APP-000316,616,3,1366988,11.5,2,3,0,0,91,3
APP-000317,636,1,195933,40.4,4,4,0,0,123,1
APP-000318,592,1,267302,20.8,4,4,0,0,157,2
APP-000319,766,0,0,2.9,0,3,0,0,150,4
APP-000320,651,1,266573,76.5,0,0,1,1654,124,2
APP-000321,728,0,0,14.2,2,3,0,0,162,3
APP-000322,739,1,204344,63.3,0,0,0,0,190,3
APP-000323,760,1,117554,32.5,5,5,0,0,122,3
APP-000324,698,1,218321,9.3,5,8,0,0,103,3
APP-000325,658,0,0,21.2,1,1,0,0,167,4
APP-000326,745,1,171346,64.9,4,4,0,0,179,3
APP-000327,724,0,0,3.3,0,2,0,0,138,2
APP-000328,787,0,0,1.0,3,5,0,0,146,1
APP-000329,701,0,0,16.5,3,3,0,0,128,1
APP-000330,719,2,393529,70.8,2,2,0,0,250,2
APP-000331,642,1,155782,51.2,1,1,1,1434,205,1
APP-000332,755,2,489235,61.1,0,2,0,0,190,1
APP-000333,688,2,528255,53.8,1,1,0,0,136,0
APP-000334,661,2,711455,21.4,0,0,0,0,158,1
APP-000335,755,1,323785,16.3,1,2,0,0,202,3
APP-000336,733,1,428534,14.6,0,1,0,0,206,1
APP-000337,662,1,78977,8.3,0,0,1,1119,109,1
APP-000338,725,0,0,7.3,0,0,0,0,163,1
APP-000339,814,1,252249,9.4,0,1,0,0,94,2
APP-000340,745,1,85142,50.0,1,3,0,0,117,2
APP-000341,730,0,0,17.9,0,0,0,0,142,1
APP-000342,777,0,0,18.3,0,2,0,0,208,0
APP-000343,704,1,1159636,36.2,0,2,0,0,129,0
APP-000344,850,1,404561,65.5,0,0,0,0,150,3
APP-000345,741,0,0,21.5,1,2,0,0,167,0
APP-000346,579,1,909719,30.8,1,2,1,262,108,1
APP-000347,677,0,0,7.5,0,2,0,0,97,2
APP-000348,659,1,450380,15.7,0,2,0,0,102,3
APP-000349,764,4,592869,78.3,0,1,0,0,142,3
APP-000350,774,0,0,5.6,0,0,0,0,107,1
APP-000351,779,1,300677,27.1,2,3,0,0,178,3
APP-000352,736,1,515779,22.6,2,5,0,0,116,2
APP-000353,765,0,0,14.8,0,0,0,0,97,1
APP-000354,646,1,231867,46.7,0,0,1,1194,126,2
APP-000355,876,2,692079,35.6,0,1,0,0,162,1
APP-000356,844,3,1010099,25.7,0,1,0,0,144,1
APP-000357,707,0,0,10.4,1,1,0,0,132,0
APP-000358,676,1,303009,32.2,3,3,0,0,147,1
APP-000359,836,1,184931,19.2,0,0,0,0,180,1
APP-000360,505,1,620219,28.1,0,2,1,1370,237,1
APP-000361,603,1,447484,49.9,0,1,1,1587,61,3
APP-000362,587,0,0,13.7,0,2,1,837,199,2
APP-000363,581,2,914030,20.3,1,1,1,1263,189,2
APP-000364,714,1,323976,37.3,0,0,0,0,136,3
APP-000365,781,2,373335,56.4,0,3,0,0,171,1
APP-000366,796,2,1163403,40.6,0,0,0,0,118,1
APP-000367,743,2,196038,58.6,2,5,0,0,107,2
APP-000368,617,1,443788,24.2,0,1,0,0,162,0
APP-000369,553,3,878915,44.6,1,1,1,1629,162,1
APP-000370,710,3,953911,39.4,2,2,0,0,104,0
APP-000371,677,0,0,4.7,0,0,0,0,196,3
APP-000372,654,2,409991,58.4,1,2,0,0,125,1
APP-000373,637,2,495889,9.9,0,0,0,0,65,3
APP-000374,703,0,0,0.3,1,1,0,0,182,2
APP-000375,775,1,356326,75.9,1,1,0,0,113,2
APP-000376,587,2,347446,23.1,1,1,1,1606,136,2
APP-000377,590,0,0,13.9,0,1,0,0,88,2
APP-000378,699,1,501211,51.4,0,1,0,0,88,1
APP-000379,704,0,0,19.0,1,1,0,0,141,0
APP-000380,696,0,0,26.8,1,2,1,726,224,2
APP-000381,607,4,782111,45.9,1,2,0,0,178,4
APP-000382,618,2,444206,75.3,0,2,0,0,117,0
APP-000383,784,3,231740,20.7,1,2,0,0,150,0
APP-000384,712,1,327684,36.0,0,0,0,0,152,2
APP-000385,611,2,1151481,22.1,0,0,1,1607,170,2
APP-000386,803,0,0,0.4,2,5,0,0,172,1
APP-000387,699,0,0,21.3,3,5,1,350,77,0
APP-000388,772,0,0,0.4,1,1,0,0,103,2
APP-000389,646,1,451626,36.4,3,3,0,0,139,2
APP-000390,808,0,0,6.4,0,0,0,0,99,2
APP-000391,681,1,212043,77.4,0,1,0,0,107,2
APP-000392,728,2,118285,53.3,0,0,0,0,176,2
APP-000393,686,4,539596,44.2,1,4,0,0,98,1
APP-000394,667,2,182877,43.6,0,2,0,0,182,2
APP-000395,681,2,620995,36.7,0,2,0,0,133,3
APP-000396,820,3,539687,60.4,0,0,0,0,146,1
APP-000397,832,3,4236819,21.6,1,2,0,0,121,1
APP-000398,589,2,203826,62.0,0,0,1,637,131,2
APP-000399,731,0,0,14.9,0,0,0,0,85,1
APP-000400,696,2,550599,76.8,2,2,1,1029,96,3
APP-000401,686,2,250764,54.9,2,3,1,1691,166,3
APP-000402,746,0,0,29.3,0,0,0,0,198,2
APP-000403,836,2,218860,10.9,0,0,0,0,111,1
APP-000404,647,4,534979,58.0,4,6,1,1183,127,0
APP-000405,780,2,225585,27.5,0,0,0,0,177,2
APP-000406,637,2,1007637,18.4,0,1,1,1232,180,4
APP-000407,757,1,129254,43.8,2,4,0,0,127,1
APP-000408,638,1,158753,16.1,1,1,0,0,119,1
APP-000409,581,1,502959,18.3,1,2,0,0,119,2
APP-000410,638,0,0,14.8,0,1,1,1738,104,2
APP-000411,601,0,0,16.8,1,1,1,1607,206,1
APP-000412,684,0,0,16.8,1,1,0,0,103,2
APP-000413,780,3,1089660,24.5,2,4,0,0,129,2
APP-000414,758,1,460924,70.1,0,0,0,0,175,1
APP-000415,662,1,641407,85.5,0,1,1,516,93,0
APP-000416,736,0,0,29.4,1,1,0,0,195,1
APP-000417,789,0,0,29.3,0,2,0,0,137,2
APP-000418,632,0,0,5.9,1,2,0,0,73,0
APP-000419,830,2,540661,38.3,1,1,0,0,174,0
APP-000420,670,1,308679,15.5,1,1,1,588,83,1
APP-000421,776,1,226168,35.9,0,3,0,0,146,3
APP-000422,733,2,454825,20.5,2,3,0,0,190,1
APP-000423,718,3,1318820,54.4,1,3,0,0,105,0
APP-000424,710,2,658868,33.9,0,0,0,0,153,1
APP-000425,772,0,0,3.4,2,3,0,0,140,0
APP-000426,678,0,0,4.0,1,1,1,1174,166,1
APP-000427,665,0,0,25.0,1,2,0,0,146,2
APP-000428,685,1,650181,43.3,0,0,0,0,139,2
APP-000429,726,2,1556662,65.0,1,2,0,0,130,0
APP-000430,713,3,1072335,12.9,1,1,0,0,71,0
APP-000431,749,1,416231,24.8,1,1,0,0,64,0
APP-000432,730,3,1803452,34.6,0,1,0,0,114,0
APP-000433,576,0,0,23.5,1,2,0,0,144,2
APP-000434,640,3,1396664,73.1,1,1,1,1188,12,0
APP-000435,698,1,687571,16.6,0,0,1,545,143,2
APP-000436,663,1,113605,12.8,1,2,1,1462,141,2
APP-000437,584,3,1081898,20.7,0,0,0,0,123,1
APP-000438,674,2,1163278,57.9,3,5,0,0,118,1
APP-000439,540,2,172298,35.4,0,1,1,428,182,1
APP-000440,658,1,61403,10.2,3,3,0,0,122,1
APP-000441,584,0,0,2.5,0,1,1,578,191,2
APP-000442,643,2,513224,39.7,1,1,1,1798,148,3
APP-000443,605,1,293386,59.4,3,3,0,0,190,2
APP-000444,540,0,0,9.4,1,1,0,0,154,2
APP-000445,726,2,123981,39.4,0,1,0,0,115,3
APP-000446,655,2,248182,37.0,0,3,0,0,144,0
APP-000447,747,0,0,29.9,3,3,0,0,63,0
APP-000448,657,0,0,16.9,1,1,1,972,171,1
APP-000449,623,1,504071,27.8,0,3,0,0,56,1
APP-000450,775,1,514311,34.2,0,0,0,0,136,1
APP-000451,668,0,0,16.8,0,0,0,0,148,1
APP-000452,638,1,63130,29.3,0,3,1,1078,114,1
APP-000453,728,0,0,11.1,1,1,0,0,162,2
APP-000454,656,1,326193,32.7,2,2,0,0,187,0
APP-000455,745,1,214917,64.7,2,3,0,0,67,2
APP-000456,795,3,810700,31.8,1,1,0,0,202,3
APP-000457,741,1,279123,28.1,1,1,0,0,104,1
APP-000458,718,2,975906,29.7,1,3,0,0,95,2
APP-000459,696,3,656303,27.5,0,1,1,1797,98,4
APP-000460,768,0,0,26.8,4,5,0,0,116,4
APP-000461,788,0,0,8.4,0,0,0,0,123,1
APP-000462,863,0,0,15.3,0,1,0,0,145,2
APP-000463,657,3,738794,39.2,1,1,0,0,126,1
APP-000464,769,1,331324,23.5,4,5,0,0,92,2
APP-000465,707,2,659470,6.2,0,0,0,0,138,0
APP-000466,712,3,471092,46.6,2,3,0,0,53,1
APP-000467,600,1,268441,64.0,0,0,0,0,141,1
APP-000468,562,1,187118,26.4,0,2,0,0,220,2
APP-000469,755,3,1435633,40.9,0,0,0,0,116,2
APP-000470,609,1,467264,64.1,1,3,1,245,139,2
APP-000471,717,2,519912,19.6,0,2,0,0,206,2
APP-000472,778,1,267739,49.2,2,3,0,0,137,1
APP-000473,742,1,275789,19.1,0,0,0,0,199,0
APP-000474,793,2,743310,76.6,1,1,0,0,113,3
APP-000475,680,2,711194,35.8,2,2,0,0,108,0
APP-000476,724,0,0,15.6,1,3,0,0,174,0
APP-000477,632,1,229061,27.6,0,0,1,801,112,0
